text,category,confidence
"Заказали 14.10.2017 , получили 25.10.2017 
На мой размер 42, широкий как мешок. Надо было все таки размер  S заказать. 
По поводу качества хороший пуховик. 
Мех натуральный , съемный. 
Буду продавать .",одежда,0.5812503099441528
"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой М, заказала Л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.",одежда,0.7114943861961365
Все отлично!!!,нет товара,0.20568817853927612
"Рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё",текстиль,0.6182927489280701
"плохо!!!Низ рваный..деньги не вернули!Открыла спор,но его почему то закрыли",обувь,0.6153439283370972
"обычная майка с ужасным запахом, есть косяки на белой надписи как краска",одежда,0.6209428310394287
"Все как на фото, и цвет и форма.",нет товара,0.24970228970050812
"Но рост 180 по колено,качество хорошее,доставка быстрая",нет товара,0.30293649435043335
Не подошло по размеру. Ткань тоже не понравилась,текстиль,0.9623727798461914
"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес",одежда,0.7626404166221619
"брак,очень растроенна",нет товара,0.9503940343856812
криво пошита ткань. большой размер.,текстиль,0.9630820155143738
"Отвратительное качество материала. Продавец обещает хлопок, а пришла голая синтетика. Сильный запах. ",текстиль,0.9241383075714111
"Качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, Но, размер просто капелюшчный, на 44 размер XXL еле, еле подошёл. Я заказала 3xL, а прислали 2xl, открыла спор, никак не решили проблему. Очень обидно.",текстиль,0.6403302550315857
"Товар не получила, деньги не вернули!",нет товара,0.9950294494628906
"Супер!!! Очень красивая блузка, качество отличное, смотрится замечательно. Принёс курьер домой)))",одежда,0.671734631061554
"Качество хорошее, большой вырез ссади",нет товара,0.34295913577079773
"Товар так и не пришел. Заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. Открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.",нет товара,0.9869408011436462
ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,одежда,0.6729943156242371
"Это вторая, обе S, но разница видна. И пришлось взять в руки иголку, так как были косяки. Но они очень удобны и комфортные для работы.",нет товара,0.40792733430862427
"Доставка 2 месяца до Смоленска. Ткань голая синтетика. Пуговицы еле держатся. На параметры ОГ 91, ОТ 68, плечи 40 размер М в самый раз.",текстиль,0.9182184934616089
"заказала размер L,чтобы было свободно(сама ношу S).По факту штаны на наш размер S,очень тугая резинка, кофта на наш размер M.Про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика(",обувь,0.5023996233940125
"Отличные штаны,  очень тёплые. Доставка 3 недели. На объем бедер 104 см отлично подошёл размер XXL .",обувь,0.7277323007583618
"Цвет черный а не темно синий , обидно. Шапка хорошая.",нет товара,0.45285865664482117
блузка очень хорошего качества. доставка меньше месяца. всем довольна.,одежда,0.7383337616920471
"Качество ткани хорошее.В блузке есть 1 большой минус не симетричны сделаны складки .Должны быть по центру ,а они с боку т.е.брак.Продовец по общению хороший.По размеру идеально.",текстиль,0.7753121256828308
"Я думала, что свитер будет более толстым , а на самом деле он тонкий. Свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . Продавец положил подарочек и ароматизаторы с запахом роз",нет товара,0.4246973991394043
"ткань очень тонкая,платье смотрится совсем по-другому",текстиль,0.554619550704956
"На 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый",текстиль,0.972278892993927
заказ не пришёл! Деньги не вернули,нет товара,0.9889203310012817
"Футболка классная! Маловата немного, берите на размер больше! Шла около месяца ",одежда,0.6856678128242493
"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.",нет товара,0.22353440523147583
